lon_centre,lat_centre,cell_size_sqkm,kg_reported,kg_iuu.est,kg_discards.est,kg_total,kg_reported_persqkm,kg_iuu.est_persqkm,kg_discards.est_persqkm,kg_total_persqkm,frac_reported,frac_iuu.est,frac_discards.est
-38.25,84.25,309.68,5.188000000000001,2.5980000000000003,0.47000000000000003,7.786000000000001,0.016752777060191168,0.008389305089124258,0.0015176956858692844,0.025142082149315428,0.6663241715900333,0.33367582840996657,0.06036475725661443
-37.75,84.25,309.68,0.25,0.092,0.002,0.34199999999999997,8.072849392921726e-4,2.970808576595195e-4,6.4582795143373805e-6,0.0011043657969516919,0.7309941520467836,0.2690058479532164,0.0058479532163742695
-36.75,84.25,309.68,3.104,1.1620000000000001,0.004,4.266,0.010023249806251614,0.0037522603978300184,1.2916559028674761e-5,0.013775510204081633,0.7276136896390061,0.2723863103609939,9.376465072667605e-4
-36.25,84.25,309.68,1.198,0.44600000000000006,0.02,1.6440000000000001,0.0038685094290880906,0.001440196331697236,6.45827951433738e-5,0.0053087057607853275,0.7287104622871046,0.2712895377128954,0.0121654501216545
-35.75,84.25,309.68,2.2520000000000002,0.86,0.026000000000000002,3.112,0.007272022733143891,0.0027770601911650734,8.395763368638595e-5,0.010049082924308964,0.7236503856041132,0.2763496143958869,0.008354755784061698
-35.25,84.25,309.68,3.0340000000000003,1.1320000000000001,0.27799999999999997,4.166,0.009797210023249807,0.0036553862051149576,8.977008524928958e-4,0.013452596228364765,0.728276524243879,0.271723475756121,0.06673067690830532
-34.75,84.25,309.68,3.368,1.4540000000000002,0.152,4.822,0.010875742702144147,0.004695169206923276,4.908292430896409e-4,0.015570911909067424,0.6984653670676068,0.30153463293239324,0.03152218996267109
-34.25,84.25,309.68,34.53600000000001,12.769999999999998,3.2719999999999994,47.306000000000004,0.11152157065357791,0.04123611469904417,0.010565745285455952,0.15275768535262207,0.7300553840950409,0.2699446159049591,0.06916670189827927
-33.75,84.25,309.68,4.101999999999999,1.5440000000000003,0.11599999999999999,5.646,0.013245931283905965,0.004985791785068459,3.7458021183156803e-4,0.018231723068974425,0.7265320580942259,0.27346794190577406,0.020545518951470065
-33.25,84.25,309.68,10.767999999999997,3.9379999999999997,0.8799999999999996,14.705999999999996,0.03477137690519245,0.012716352363730301,0.002841642986308446,0.047487729268922745,0.7322181422548619,0.2677818577451381,0.059839521283829716
-32.75,84.25,309.68,5.398,1.9899999999999998,0.43,7.388,0.017430896409196588,0.006425988116765693,0.0013885300955825367,0.023856884525962282,0.7306442880346508,0.2693557119653492,0.05820249052517596
